"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"U2","SOT23-3","75.97mm","22.555mm","75.97mm","22.555mm","74.9112mm","23.5126mm","T","90.00","Shunt Regulator,2.5Vdc TL431IDBZT"
"U1","SOT23-6","73.1mm","12.1mm","74.05mm","13.3mm","74.05mm","13.3mm","T","270.00","AOZ1280CI"
"R30","RES,_0805,_HD","57.96mm","24.89mm","57.96mm","24.89mm","57.96mm","25.84mm","T","270.00","CR0805-JW-330ELF"
"R28","RES,_0805,_HD","62.48mm","14.08mm","62.48mm","14.08mm","63.43mm","14.08mm","T","180.00","Vishay CRCW08051K00JNEA"
"R27","RES,_0805,_HD","55.96mm","24.89mm","55.96mm","24.89mm","55.96mm","25.84mm","T","270.00","CR0805-JW-330ELF"
"R49","RES,_0805,_HD","61.51mm","10.45mm","61.51mm","10.45mm","61.51mm","9.5mm","T","90.00","Vishay CRCW08051K00JNEA"
"R48","res,_0805,_HD","7.9003mm","13.171mm","7.9003mm","13.171mm","6.9503mm","13.171mm","T","360.00","TE Connectivity RP73PF2A100KBTDF"
"R46","res,_0805,_HD","7.9003mm","16.846mm","7.9003mm","16.846mm","6.9503mm","16.846mm","T","360.00","TE Connectivity RP73PF2A100KBTDF"
"R15","RES,_0805,_HD","34.85mm","16.71mm","34.85mm","16.71mm","34.85mm","15.76mm","T","90.00","Vishay CRCW08051K00JNEA"
"R13","RES,_0805,_HD","34.85mm","8.86mm","34.85mm","8.86mm","34.85mm","7.91mm","T","90.00","Vishay CRCW08051K00JNEA"
"R12","RES,_0805,_HD","44.375mm","15.975mm","44.375mm","15.975mm","44.375mm","15.025mm","T","90.00","CRCW0805100KFKEA"
"R11","RES,_0805,_HD","44.45mm","9.36mm","44.45mm","9.36mm","44.45mm","8.41mm","T","90.00","CRCW0805100KFKEA"
"R8","RES,_0805,_HD","37.85mm","19.26mm","37.85mm","19.26mm","36.9mm","19.26mm","T","360.00","CRCW0805100KFKEA"
"R7","RES,_0805,_HD","37.85mm","12.66mm","37.85mm","12.66mm","36.9mm","12.66mm","T","360.00","CRCW0805100KFKEA"
"R6","RES,_0805,_HD","41.45mm","19.26mm","41.45mm","19.26mm","42.4mm","19.26mm","T","180.00","Vishay / Dale CRCW080510K0FKTA"
"R5","RES,_0805,_HD","41.45mm","12.66mm","41.45mm","12.66mm","42.4mm","12.66mm","T","180.00","Vishay / Dale CRCW080510K0FKTA"
"R2","RES,_0805,_HD","71.15mm","15.1mm","71.15mm","15.1mm","70.2mm","15.1mm","T","360.00","CRGCQ0805F15K"
"R1","RES,_0805,_HD","71.15mm","17.1mm","71.15mm","17.1mm","72.1mm","17.1mm","T","180.00","TNPW080582K5BEEA"
"U8","48-VFQFN_EXPOSED_PAD","54.75mm","18.33mm","54.75mm","18.33mm","57.4932mm","21.8098mm","T","270.00","MKL26Z64VFT4"
"Q5","SOT23-3","37.85mm","9.36mm","37.85mm","9.36mm","38.8076mm","10.4188mm","T","360.00","SMBT2222A"
"Q4","SOT23-3","41.45mm","15.96mm","41.45mm","15.96mm","42.4076mm","17.0188mm","T","360.00","SMBT2222A"
"Q3","SOT23-3","41.45mm","9.36mm","41.45mm","9.36mm","42.4076mm","10.4188mm","T","360.00","SMBT2222A"
"MOD1","MOD,TEENSY_BOOTS","70.09mm","32.325mm","64.375mm","32.325mm","82.155mm","32.325mm","B","180.00","Teensy Boots"
"L1","IND,2520","82.05mm","13.9mm","82.05mm","12.9mm","82.05mm","12.9mm","T","90.00","CIGT252008LM2R2MNE"
"D1","DO-214AC,_SMA","79.05mm","12.1mm","79.05mm","12.1mm","79.05mm","10.1mm","T","90.00","NRVTSA4100ET3G"
"C24","CAP,_0805,_HD","62.48mm","16.18mm","62.48mm","16.18mm","63.496mm","16.18mm","T","180.00","08055C104JAT2A"
"C28","CAP,_0805,_HD","63.61mm","10.45mm","63.61mm","10.45mm","63.61mm","9.434mm","T","90.00","08055C104JAT2A"
"C21","CAP,_0805,_HD","48.03mm","19.17mm","48.03mm","19.17mm","47.014mm","19.17mm","T","360.00","08055C104JAT2A"
